concept_id,preferred_label,canonical_path,queue_path,path_alignment,workbook_description,workbook_sha256
AOM_000782,Antitoxins,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients/Antitoxins,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients/Antitoxins,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000788,Vitamin B12,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Vitamin/Vitamin B12,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Vitamin/Vitamin B12,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000789,Vitamin C,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Vitamin/Vitamin C,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Vitamin/Vitamin C,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000790,Vitamin E,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Vitamin/Vitamin E,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Vitamin/Vitamin E,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000791,Vitamin Mix,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Vitamin/Vitamin Mix,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Vitamin/Vitamin Mix,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000793,Vitamin,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Vitamin,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Vitamin,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000794,Minerals and Vitamins Mix,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mixture/Minerals and Vitamins Mix,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mixture/Minerals and Vitamins Mix,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000795,Mixture,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mixture,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mixture,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000799,Commercial Feed,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Preformulated Feed/Commercial Feed,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Preformulated Feed/Commercial Feed,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000800,Concentrate,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Preformulated Feed/Concentrate,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Preformulated Feed/Concentrate,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
