concept_id,preferred_label,ingredient_family,source_identity_candidate,component_candidates,process_candidates,form_candidates,quality_candidates,normalized_signature,confidence,review_route,exception_reason,definition_status,governance_state,status,rule_version
AOM_001322,Cassava Ground,Crop Product,cassava,,Grinding,,,cassava||Grinding||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001323,Coffee Ground Roasted,Crop Product,coffee,,Grinding;Roasting,,,coffee||Grinding;Roasting||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001324,Ground whole-grain maize,Crop Product,maize,Grain,Grinding,,,maize|Grain|Grinding||,low,expert_exception,"whole may mean whole crop, whole grain, whole organism, or physical presentation",missing,approved_model_resolution,proposed-not-applied,1.0.0
AOM_001326,Whole-crop maize silage,Crop Product,crop maize,,Ensiling,,,crop maize||Ensiling||,low,expert_exception,"whole may mean whole crop, whole grain, whole organism, or physical presentation",missing,approved_retained_replacement,proposed-not-applied,1.0.0
AOM_001331,Oat Grain,Crop Product,oat,Grain,,,,oat|Grain|||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001332,Oat Ground,Crop Product,oat,,Grinding,,,oat||Grinding||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001333,Oil,Crop Product,oil,,,,,oil||||,high,retain_atomic_candidate,,missing,approved_source_override,proposed-not-applied,1.0.0
AOM_001334,Pearl Millet,Crop Product,pearl millet,,,,,pearl millet||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001335,Sesame Ground,Crop Byproduct,sesame,,Grinding,,,sesame||Grinding||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001336,Sesame Seed Ground,Crop Byproduct,sesame,Seed,Grinding,,,sesame|Seed|Grinding||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001337,Sunflower Ground,Crop Byproduct,sunflower,,Grinding,,,sunflower||Grinding||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001338,Sunflower Seed Cake,Crop Byproduct,sunflower,Seed,,Cake,,sunflower|Seed||Cake|,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001339,Sorghum Ensiled,Crop Product,sorghum,,Ensiling,,,sorghum||Ensiling||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001344,Rosemary Oil,Crop Product,rosemary,,,Oil,,rosemary|||Oil|,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001345,Rosemary Leaves,Crop Product,rosemary,Leaf,,,,rosemary|Leaf|||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001346,Wheat Ground,Crop Product,wheat,,Grinding,,,wheat||Grinding||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001347,Winged Bean Autoclaved Ground,Crop Product,winged bean,,Autoclaving;Grinding,,,winged bean||Autoclaving;Grinding||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001348,Winged Bean Ground Roasted,Crop Product,winged bean,,Grinding;Roasting,,,winged bean||Grinding;Roasting||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001351,Blue Lupin,Crop Product,blue lupin,,,,,blue lupin||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001354,Turmeric,Crop Product,turmeric,,,,,turmeric||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001355,Oat Ensiled,Crop Product,oat,,Ensiling,,,oat||Ensiling||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001357,Black Cumin Seed,Crop Product,black cumin,Seed,,,,black cumin|Seed|||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001358,Black Cumin Ground,Crop Product,black cumin,,Grinding,,,black cumin||Grinding||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001359,Onion Bulb,Crop Product,onion bulb,,,,,onion bulb||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001360,Scarlet Eggplant,Crop Product,scarlet eggplant,,,,,scarlet eggplant||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001361,Soybean Flakes Defatted,Crop Byproduct,soybean flakes,,Defatting,,,soybean flakes||Defatting||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
