concept_id,scheme_id,module,concept_type,notation,status,hierarchy_level,derived_path,source_row
AOM_006012,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_006012,staging,10,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Pterocarpus lucens/Pterocarpus lucens Pods/Pterocarpus lucens Pods Dried,1430
AOM_006011,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_006011,staging,9,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Pterocarpus lucens/Pterocarpus lucens Pods,1431
AOM_006013,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_006013,staging,8,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Pterocarpus lucens,1432
AOM_003906,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_003906,staging,9,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Quercus ilex/Quercus ilex Nut,1433
AOM_006155,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_006155,staging,8,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Quercus ilex,1434
AOM_006305,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_006305,staging,9,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Samanea saman/Samanea saman Dried Ground,1435
AOM_006306,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_006306,staging,9,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Samanea saman/Samanea saman Wilted,1436
AOM_002230,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_002230,staging,8,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Samanea saman,1437
AOM_002221,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_002221,staging,8,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Searsia lancea,1438
AOM_002222,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_002222,staging,8,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Searsia pyroides,1439
AOM_001918,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_001918,staging,9,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Sesbania/Sesbania Dried,1440
AOM_001725,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_001725,staging,9,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Sesbania goetzei/Sesbania goetzei Dried,1441
AOM_001739,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_001739,staging,10,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Sesbania goetzei/Sesbania goetzei Leaves/Sesbania goetzei Leaves Dried,1442
AOM_001174,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_001174,staging,8,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Sesbania goetzei,1443
AOM_001229,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_001229,staging,9,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Sesbania sesban/Sesbania sesban Dried,1444
AOM_006310,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_006310,staging,9,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Sesbania sesban/Sesbania sesban Ensiled,1445
AOM_001902,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_001902,staging,10,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Sesbania sesban/Sesbania sesban Leaves/Sesbania sesban Leaves Dried,1446
AOM_006308,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_006308,staging,10,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Sesbania sesban/Sesbania sesban Leaves/Sesbania sesban Leaves Dried Ground,1447
AOM_001724,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_001724,staging,10,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Sesbania sesban/Sesbania sesban Leaves/Sesbania sesban Leaves Wilted,1448
AOM_001740,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_001740,staging,9,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Sesbania sesban/Sesbania sesban Leaves,1449
AOM_001984,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_001984,staging,10,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Sesbania sesban/Sesbania sesban Leaves and Twigs/Sesbania sesban Leaves and Twigs Dried,1450
AOM_001230,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_001230,staging,9,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Sesbania sesban/Sesbania sesban Leaves and Twigs,1451
AOM_006309,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_006309,staging,10,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Sesbania sesban/Sesbania sesban Seed/Sesbania sesban Seed Roasted,1452
AOM_003080,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_003080,staging,9,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Sesbania sesban/Sesbania sesban Seed,1453
AOM_001985,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_001985,staging,10,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Sesbania sesban/Sesbania sesban Stalks/Sesbania sesban Stalks Wilted,1454
AOM_003079,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_003079,staging,8,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Sesbania sesban,1455
AOM_002168,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_002168,staging,9,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Spondias mombin/Spondias mombin Leaves,1456
AOM_003899,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_003899,staging,8,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Spondias mombin,1457
AOM_002058,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_002058,staging,8,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Stereospermum kunthianum,1458
AOM_006261,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_006261,staging,10,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Tectona grandis/Tectona grandis Leaves/Tectona grandis Leaves Wilted,1459
AOM_002232,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_002232,staging,9,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Tectona grandis/Tectona grandis Leaves,1460
AOM_006395,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_006395,staging,9,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Tectona grandis/Tectona grandis Wilted,1461
AOM_002220,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_002220,staging,8,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Tectona grandis,1462
AOM_001821,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_001821,staging,8,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Terminalia brownii,1463
AOM_001823,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_001823,staging,10,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Terminalia brownii/Terminalia brownii Leaves/Terminalia brownii Leaves Dried,1464
AOM_001822,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_001822,staging,9,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Terminalia brownii/Terminalia brownii Leaves,1465
AOM_002059,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_002059,staging,8,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Terminalia sericea,1466
AOM_000716,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000716,staging,8,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Tithonia diversifolia,1467
AOM_001726,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_001726,staging,9,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Tithonia diversifolia/Tithonia diversifolia Dried,1468
