subject_id,relation_type,object_id,status
AOM_000921,broader,AOM_000920,derived-from-levels
AOM_003050,broader,AOM_003022,derived-from-levels
AOM_003022,broader,AOM_000900,derived-from-levels
AOM_000850,broader,AOM_000848,derived-from-levels
AOM_000851,broader,AOM_000850,derived-from-levels
AOM_000852,broader,AOM_000850,derived-from-levels
AOM_000853,broader,AOM_000850,derived-from-levels
AOM_000874,broader,AOM_000848,derived-from-levels
AOM_000875,broader,AOM_000874,derived-from-levels
AOM_000876,broader,AOM_000874,derived-from-levels
AOM_000877,broader,AOM_000876,derived-from-levels
AOM_000878,broader,AOM_000874,derived-from-levels
AOM_000879,broader,AOM_000878,derived-from-levels
AOM_000880,broader,AOM_000878,derived-from-levels
AOM_000881,broader,AOM_000874,derived-from-levels
AOM_000882,broader,AOM_000874,derived-from-levels
AOM_000883,broader,AOM_000874,derived-from-levels
AOM_000884,broader,AOM_000874,derived-from-levels
AOM_000922,broader,AOM_000848,derived-from-levels
AOM_000923,broader,AOM_000922,derived-from-levels
AOM_000924,broader,AOM_000923,derived-from-levels
AOM_000925,broader,AOM_000923,derived-from-levels
AOM_000926,broader,AOM_000922,derived-from-levels
AOM_000927,broader,AOM_000926,derived-from-levels
AOM_000107,broader,AOM_000106,derived-from-levels
AOM_000356,broader,AOM_000107,derived-from-levels
AOM_000328,broader,AOM_000107,derived-from-levels
AOM_000196,broader,AOM_000328,derived-from-levels
AOM_000197,broader,AOM_000196,derived-from-levels
AOM_000198,broader,AOM_000196,derived-from-levels
AOM_000199,broader,AOM_000196,derived-from-levels
AOM_000200,broader,AOM_000199,derived-from-levels
AOM_000201,broader,AOM_000199,derived-from-levels
AOM_000202,broader,AOM_000199,derived-from-levels
AOM_000203,broader,AOM_000199,derived-from-levels
AOM_000204,broader,AOM_000199,derived-from-levels
AOM_000205,broader,AOM_000199,derived-from-levels
AOM_000206,broader,AOM_000199,derived-from-levels
AOM_000207,broader,AOM_000199,derived-from-levels
AOM_000208,broader,AOM_000199,derived-from-levels
AOM_000209,broader,AOM_000199,derived-from-levels
AOM_000210,broader,AOM_000199,derived-from-levels
AOM_000211,broader,AOM_000199,derived-from-levels
AOM_000212,broader,AOM_000199,derived-from-levels
AOM_000213,broader,AOM_000199,derived-from-levels
AOM_000214,broader,AOM_000199,derived-from-levels
AOM_000215,broader,AOM_000199,derived-from-levels
AOM_000216,broader,AOM_000199,derived-from-levels
AOM_000217,broader,AOM_000199,derived-from-levels
AOM_000218,broader,AOM_000199,derived-from-levels
AOM_000219,broader,AOM_000199,derived-from-levels
AOM_000220,broader,AOM_000199,derived-from-levels
AOM_000221,broader,AOM_000199,derived-from-levels
AOM_000222,broader,AOM_000199,derived-from-levels
AOM_000223,broader,AOM_000199,derived-from-levels
AOM_000225,broader,AOM_000196,derived-from-levels
AOM_000226,broader,AOM_000196,derived-from-levels
AOM_000228,broader,AOM_000196,derived-from-levels
AOM_000229,broader,AOM_000196,derived-from-levels
AOM_000230,broader,AOM_000196,derived-from-levels
AOM_000231,broader,AOM_000196,derived-from-levels
AOM_000232,broader,AOM_000196,derived-from-levels
AOM_000233,broader,AOM_000196,derived-from-levels
AOM_000235,broader,AOM_000196,derived-from-levels
AOM_000237,broader,AOM_000196,derived-from-levels
AOM_000238,broader,AOM_000196,derived-from-levels
AOM_000239,broader,AOM_000196,derived-from-levels
AOM_000240,broader,AOM_000196,derived-from-levels
AOM_000244,broader,AOM_000196,derived-from-levels
AOM_000241,broader,AOM_000244,derived-from-levels
AOM_000242,broader,AOM_000244,derived-from-levels
AOM_000243,broader,AOM_000244,derived-from-levels
AOM_000245,broader,AOM_000196,derived-from-levels
AOM_000246,broader,AOM_000196,derived-from-levels
AOM_000247,broader,AOM_000196,derived-from-levels
AOM_000248,broader,AOM_000196,derived-from-levels
AOM_000249,broader,AOM_000196,derived-from-levels
AOM_000252,broader,AOM_000196,derived-from-levels
AOM_000190,broader,AOM_000196,derived-from-levels
AOM_000187,broader,AOM_000190,derived-from-levels
AOM_000188,broader,AOM_000190,derived-from-levels
AOM_000189,broader,AOM_000190,derived-from-levels
AOM_000255,broader,AOM_000196,derived-from-levels
AOM_000256,broader,AOM_000196,derived-from-levels
AOM_000257,broader,AOM_000196,derived-from-levels
AOM_000258,broader,AOM_000196,derived-from-levels
AOM_000259,broader,AOM_000196,derived-from-levels
AOM_000260,broader,AOM_000196,derived-from-levels
AOM_002555,broader,AOM_000196,derived-from-levels
AOM_000261,broader,AOM_000196,derived-from-levels
AOM_002211,broader,AOM_000196,derived-from-levels
AOM_000262,broader,AOM_000196,derived-from-levels
AOM_000263,broader,AOM_000196,derived-from-levels
AOM_002214,broader,AOM_000196,derived-from-levels
AOM_002212,broader,AOM_000196,derived-from-levels
AOM_000267,broader,AOM_000196,derived-from-levels
AOM_000268,broader,AOM_000196,derived-from-levels
AOM_000269,broader,AOM_000196,derived-from-levels
AOM_000270,broader,AOM_000196,derived-from-levels
AOM_000271,broader,AOM_000196,derived-from-levels
AOM_000283,broader,AOM_000196,derived-from-levels
AOM_000272,broader,AOM_000283,derived-from-levels
AOM_000273,broader,AOM_000283,derived-from-levels
AOM_000274,broader,AOM_000283,derived-from-levels
AOM_000275,broader,AOM_000283,derived-from-levels
AOM_002213,broader,AOM_000283,derived-from-levels
AOM_000276,broader,AOM_000283,derived-from-levels
AOM_000277,broader,AOM_000283,derived-from-levels
AOM_000278,broader,AOM_000283,derived-from-levels
AOM_000279,broader,AOM_000283,derived-from-levels
AOM_000280,broader,AOM_000283,derived-from-levels
AOM_000281,broader,AOM_000283,derived-from-levels
AOM_000282,broader,AOM_000283,derived-from-levels
AOM_001616,broader,AOM_000559,derived-from-levels
AOM_000537,broader,AOM_001616,derived-from-levels
AOM_000536,broader,AOM_001616,derived-from-levels
AOM_000542,broader,AOM_000559,derived-from-levels
AOM_001924,broader,AOM_001923,derived-from-levels
AOM_000549,broader,AOM_000559,derived-from-levels
AOM_001878,broader,AOM_001877,derived-from-levels
AOM_001877,broader,AOM_000549,derived-from-levels
AOM_001880,broader,AOM_001879,derived-from-levels
AOM_001879,broader,AOM_000549,derived-from-levels
AOM_001925,broader,AOM_000549,derived-from-levels
AOM_001098,broader,AOM_000549,derived-from-levels
AOM_001103,broader,AOM_000549,derived-from-levels
AOM_001101,broader,AOM_000549,derived-from-levels
AOM_001658,broader,AOM_000549,derived-from-levels
AOM_002006,broader,AOM_000549,derived-from-levels
AOM_000543,broader,AOM_000549,derived-from-levels
AOM_001100,broader,AOM_000549,derived-from-levels
AOM_000544,broader,AOM_000549,derived-from-levels
AOM_002008,broader,AOM_000544,derived-from-levels
AOM_002007,broader,AOM_000544,derived-from-levels
AOM_001881,broader,AOM_001882,derived-from-levels
AOM_001882,broader,AOM_000549,derived-from-levels
AOM_000547,broader,AOM_000549,derived-from-levels
AOM_002242,broader,AOM_002241,derived-from-levels
AOM_002241,broader,AOM_001927,derived-from-levels
AOM_001927,broader,AOM_000549,derived-from-levels
AOM_001110,broader,AOM_000549,derived-from-levels
AOM_001929,broader,AOM_002243,derived-from-levels
AOM_002243,broader,AOM_000549,derived-from-levels
AOM_001115,broader,AOM_000549,derived-from-levels
AOM_002244,broader,AOM_001115,derived-from-levels
AOM_002245,broader,AOM_001930,derived-from-levels
AOM_001930,broader,AOM_001115,derived-from-levels
AOM_001931,broader,AOM_002246,derived-from-levels
AOM_001116,broader,AOM_002246,derived-from-levels
AOM_002246,broader,AOM_000549,derived-from-levels
AOM_000554,broader,AOM_000559,derived-from-levels
AOM_001805,broader,AOM_000554,derived-from-levels
AOM_001605,broader,AOM_001805,derived-from-levels
AOM_000550,broader,AOM_001805,derived-from-levels
AOM_006043,broader,AOM_000554,derived-from-levels
AOM_000551,broader,AOM_006043,derived-from-levels
AOM_000552,broader,AOM_002247,derived-from-levels
AOM_002247,broader,AOM_000554,derived-from-levels
AOM_001933,broader,AOM_002248,derived-from-levels
AOM_001111,broader,AOM_002248,derived-from-levels
AOM_001934,broader,AOM_002248,derived-from-levels
AOM_000553,broader,AOM_002248,derived-from-levels
AOM_002248,broader,AOM_000554,derived-from-levels
AOM_000556,broader,AOM_000559,derived-from-levels
AOM_003980,broader,AOM_000556,derived-from-levels
AOM_002077,broader,AOM_000556,derived-from-levels
AOM_001935,broader,AOM_000556,derived-from-levels
AOM_000555,broader,AOM_000556,derived-from-levels
AOM_001937,broader,AOM_001936,derived-from-levels
AOM_001113,broader,AOM_001936,derived-from-levels
AOM_001936,broader,AOM_001114,derived-from-levels
AOM_001114,broader,AOM_000559,derived-from-levels
AOM_000538,broader,AOM_000540,derived-from-levels
AOM_006363,broader,AOM_000540,derived-from-levels
AOM_000539,broader,AOM_000540,derived-from-levels
AOM_001939,broader,AOM_001811,derived-from-levels
AOM_002079,broader,AOM_002078,derived-from-levels
AOM_006100,broader,AOM_002192,derived-from-levels
AOM_001104,broader,AOM_000545,derived-from-levels
AOM_006167,broader,AOM_000545,derived-from-levels
AOM_001107,broader,AOM_001106,derived-from-levels
AOM_001105,broader,AOM_000558,derived-from-levels
AOM_000557,broader,AOM_000558,derived-from-levels
AOM_001610,broader,AOM_000557,derived-from-levels
AOM_006194,broader,AOM_000558,derived-from-levels
AOM_001094,broader,AOM_006008,derived-from-levels
AOM_001940,broader,AOM_006008,derived-from-levels
AOM_002120,broader,AOM_001146,derived-from-levels
AOM_002123,broader,AOM_001146,derived-from-levels
AOM_001109,broader,AOM_001146,derived-from-levels
AOM_001941,broader,AOM_001146,derived-from-levels
AOM_003690,broader,AOM_001146,derived-from-levels
AOM_002011,broader,AOM_000617,derived-from-levels
AOM_002012,broader,AOM_001183,derived-from-levels
AOM_006067,broader,AOM_001183,derived-from-levels
AOM_001184,broader,AOM_001183,derived-from-levels
AOM_006068,broader,AOM_001186,derived-from-levels
AOM_006201,broader,AOM_003646,derived-from-levels
AOM_000594,broader,AOM_001916,derived-from-levels
AOM_006023,broader,AOM_001876,derived-from-levels
AOM_001611,broader,AOM_001876,derived-from-levels
AOM_001876,broader,AOM_000594,derived-from-levels
AOM_001843,broader,AOM_001675,derived-from-levels
AOM_006361,broader,AOM_001675,derived-from-levels
AOM_006040,broader,AOM_000584,derived-from-levels
AOM_006035,broader,AOM_000584,derived-from-levels
AOM_006161,broader,AOM_006160,derived-from-levels
AOM_006160,broader,AOM_000594,derived-from-levels
AOM_000564,broader,AOM_000594,derived-from-levels
AOM_001884,broader,AOM_000594,derived-from-levels
AOM_000565,broader,AOM_000594,derived-from-levels
AOM_006064,broader,AOM_003565,derived-from-levels
AOM_003565,broader,AOM_000594,derived-from-levels
AOM_006374,broader,AOM_004005,derived-from-levels
AOM_000567,broader,AOM_001434,derived-from-levels
AOM_006226,broader,AOM_001614,derived-from-levels
AOM_006126,broader,AOM_001614,derived-from-levels
AOM_002016,broader,AOM_001614,derived-from-levels
AOM_001844,broader,AOM_001614,derived-from-levels
AOM_001943,broader,AOM_000569,derived-from-levels
AOM_002083,broader,AOM_000569,derived-from-levels
AOM_006218,broader,AOM_000569,derived-from-levels
AOM_006071,broader,AOM_000569,derived-from-levels
AOM_001295,broader,AOM_001294,derived-from-levels
AOM_001293,broader,AOM_001292,derived-from-levels
AOM_001942,broader,AOM_001299,derived-from-levels
AOM_001944,broader,AOM_001298,derived-from-levels
AOM_006127,broader,AOM_000571,derived-from-levels
AOM_006129,broader,AOM_000571,derived-from-levels
AOM_006128,broader,AOM_000571,derived-from-levels
AOM_001615,broader,AOM_001297,derived-from-levels
AOM_006076,broader,AOM_006001,derived-from-levels
AOM_006002,broader,AOM_006001,derived-from-levels
AOM_001686,broader,AOM_000572,derived-from-levels
AOM_001684,broader,AOM_000572,derived-from-levels
AOM_001617,broader,AOM_000572,derived-from-levels
AOM_006175,broader,AOM_000572,derived-from-levels
AOM_001885,broader,AOM_000572,derived-from-levels
AOM_006165,broader,AOM_000572,derived-from-levels
AOM_001682,broader,AOM_000572,derived-from-levels
AOM_001688,broader,AOM_000572,derived-from-levels
AOM_006397,broader,AOM_000572,derived-from-levels
AOM_001687,broader,AOM_000572,derived-from-levels
AOM_001845,broader,AOM_000594,derived-from-levels
AOM_006133,broader,AOM_001291,derived-from-levels
AOM_006142,broader,AOM_001835,derived-from-levels
AOM_001846,broader,AOM_000594,derived-from-levels
AOM_002114,broader,AOM_000575,derived-from-levels
AOM_001619,broader,AOM_000576,derived-from-levels
AOM_006187,broader,AOM_000576,derived-from-levels
AOM_006299,broader,AOM_000576,derived-from-levels
AOM_006188,broader,AOM_000576,derived-from-levels
AOM_006335,broader,AOM_000577,derived-from-levels
AOM_006300,broader,AOM_000577,derived-from-levels
AOM_006191,broader,AOM_000579,derived-from-levels
AOM_006192,broader,AOM_000579,derived-from-levels
AOM_006337,broader,AOM_000579,derived-from-levels
AOM_006336,broader,AOM_000579,derived-from-levels
AOM_006303,broader,AOM_000579,derived-from-levels
AOM_006413,broader,AOM_000579,derived-from-levels
AOM_006301,broader,AOM_000579,derived-from-levels
AOM_006304,broader,AOM_000579,derived-from-levels
AOM_006190,broader,AOM_000579,derived-from-levels
AOM_003692,broader,AOM_000579,derived-from-levels
AOM_006302,broader,AOM_000579,derived-from-levels
AOM_002084,broader,AOM_000579,derived-from-levels
AOM_001814,broader,AOM_001813,derived-from-levels
AOM_001945,broader,AOM_001813,derived-from-levels
AOM_006005,broader,AOM_001813,derived-from-levels
AOM_006312,broader,AOM_002339,derived-from-levels
AOM_002117,broader,AOM_000581,derived-from-levels
AOM_006313,broader,AOM_000581,derived-from-levels
AOM_006314,broader,AOM_000581,derived-from-levels
AOM_006328,broader,AOM_000581,derived-from-levels
AOM_001621,broader,AOM_006006,derived-from-levels
AOM_006006,broader,AOM_000594,derived-from-levels
AOM_006095,broader,AOM_006199,derived-from-levels
AOM_001197,broader,AOM_003102,derived-from-levels
AOM_006260,broader,AOM_003102,derived-from-levels
AOM_006259,broader,AOM_003102,derived-from-levels
AOM_003102,broader,AOM_006199,derived-from-levels
AOM_006199,broader,AOM_000594,derived-from-levels
AOM_000563,broader,AOM_000594,derived-from-levels
AOM_002015,broader,AOM_000563,derived-from-levels
AOM_001883,broader,AOM_000563,derived-from-levels
AOM_006222,broader,AOM_000594,derived-from-levels
AOM_001807,broader,AOM_000594,derived-from-levels
AOM_000582,broader,AOM_000594,derived-from-levels
AOM_006244,broader,AOM_000582,derived-from-levels
AOM_001622,broader,AOM_000585,derived-from-levels
AOM_000586,broader,AOM_000585,derived-from-levels
AOM_001623,broader,AOM_000589,derived-from-levels
AOM_001262,broader,AOM_001887,derived-from-levels
AOM_006181,broader,AOM_001887,derived-from-levels
AOM_006206,broader,AOM_001887,derived-from-levels
AOM_001750,broader,AOM_001887,derived-from-levels
AOM_001624,broader,AOM_001887,derived-from-levels
AOM_001751,broader,AOM_001887,derived-from-levels
AOM_002017,broader,AOM_001318,derived-from-levels
AOM_006032,broader,AOM_000595,derived-from-levels
AOM_006217,broader,AOM_003885,derived-from-levels
AOM_006178,broader,AOM_003885,derived-from-levels
AOM_001816,broader,AOM_001815,derived-from-levels
AOM_006281,broader,AOM_002348,derived-from-levels
AOM_006284,broader,AOM_002348,derived-from-levels
AOM_006285,broader,AOM_002348,derived-from-levels
AOM_006283,broader,AOM_002348,derived-from-levels
AOM_006282,broader,AOM_002348,derived-from-levels
AOM_006176,broader,AOM_001196,derived-from-levels
AOM_001693,broader,AOM_001196,derived-from-levels
AOM_001625,broader,AOM_001196,derived-from-levels
AOM_001888,broader,AOM_001196,derived-from-levels
AOM_006130,broader,AOM_002233,derived-from-levels
AOM_001947,broader,AOM_001889,derived-from-levels
AOM_006148,broader,AOM_001889,derived-from-levels
AOM_001946,broader,AOM_001283,derived-from-levels
AOM_006182,broader,AOM_003933,derived-from-levels
AOM_006183,broader,AOM_003933,derived-from-levels
AOM_000615,broader,AOM_001916,derived-from-levels
AOM_006027,broader,AOM_003208,derived-from-levels
AOM_003208,broader,AOM_003207,derived-from-levels
AOM_003207,broader,AOM_000615,derived-from-levels
AOM_001948,broader,AOM_001258,derived-from-levels
AOM_006078,broader,AOM_000601,derived-from-levels
AOM_001754,broader,AOM_000601,derived-from-levels
AOM_002018,broader,AOM_000601,derived-from-levels
AOM_006079,broader,AOM_000602,derived-from-levels
AOM_002019,broader,AOM_000602,derived-from-levels
AOM_003210,broader,AOM_003209,derived-from-levels
AOM_003209,broader,AOM_000615,derived-from-levels
AOM_006108,broader,AOM_003960,derived-from-levels
AOM_001660,broader,AOM_001254,derived-from-levels
AOM_006110,broader,AOM_000604,derived-from-levels
AOM_006111,broader,AOM_000604,derived-from-levels
AOM_006112,broader,AOM_000604,derived-from-levels
AOM_006113,broader,AOM_000605,derived-from-levels
AOM_006278,broader,AOM_003858,derived-from-levels
AOM_006224,broader,AOM_003929,derived-from-levels
AOM_002218,broader,AOM_002217,derived-from-levels
AOM_002217,broader,AOM_000615,derived-from-levels
AOM_001629,broader,AOM_000609,derived-from-levels
AOM_006317,broader,AOM_003930,derived-from-levels
AOM_002122,broader,AOM_001361,derived-from-levels
AOM_002121,broader,AOM_001361,derived-from-levels
AOM_001949,broader,AOM_001361,derived-from-levels
AOM_001362,broader,AOM_001361,derived-from-levels
AOM_006329,broader,AOM_000614,derived-from-levels
AOM_006319,broader,AOM_001271,derived-from-levels
AOM_006396,broader,AOM_001271,derived-from-levels
AOM_006345,broader,AOM_001271,derived-from-levels
AOM_001632,broader,AOM_001314,derived-from-levels
AOM_000628,broader,AOM_001916,derived-from-levels
AOM_006052,broader,AOM_002225,derived-from-levels
AOM_006049,broader,AOM_002225,derived-from-levels
AOM_006050,broader,AOM_002225,derived-from-levels
AOM_002103,broader,AOM_002102,derived-from-levels
AOM_000620,broader,AOM_003973,derived-from-levels
AOM_006073,broader,AOM_003973,derived-from-levels
AOM_001641,broader,AOM_003973,derived-from-levels
AOM_001253,broader,AOM_003973,derived-from-levels
AOM_001644,broader,AOM_003973,derived-from-levels
AOM_006166,broader,AOM_003973,derived-from-levels
AOM_001642,broader,AOM_003973,derived-from-levels
AOM_001643,broader,AOM_003973,derived-from-levels
AOM_001187,broader,AOM_003973,derived-from-levels
AOM_006325,broader,AOM_001255,derived-from-levels
AOM_001255,broader,AOM_004255,derived-from-levels
AOM_004255,broader,AOM_000628,derived-from-levels
AOM_006173,broader,AOM_001893,derived-from-levels
AOM_006170,broader,AOM_001190,derived-from-levels
AOM_001304,broader,AOM_001190,derived-from-levels
AOM_002000,broader,AOM_001190,derived-from-levels
AOM_001191,broader,AOM_001190,derived-from-levels
AOM_001190,broader,AOM_000628,derived-from-levels
AOM_006145,broader,AOM_001192,derived-from-levels
AOM_006146,broader,AOM_001192,derived-from-levels
AOM_006237,broader,AOM_001192,derived-from-levels
AOM_001277,broader,AOM_001440,derived-from-levels
AOM_001951,broader,AOM_001440,derived-from-levels
AOM_006307,broader,AOM_001440,derived-from-levels
AOM_001279,broader,AOM_001440,derived-from-levels
AOM_002128,broader,AOM_001440,derived-from-levels
AOM_001336,broader,AOM_001440,derived-from-levels
AOM_006311,broader,AOM_001278,derived-from-levels
AOM_002093,broader,AOM_002092,derived-from-levels
AOM_000641,broader,AOM_001916,derived-from-levels
AOM_000633,broader,AOM_001836,derived-from-levels
AOM_001952,broader,AOM_001439,derived-from-levels
AOM_001626,broader,AOM_000635,derived-from-levels
AOM_001647,broader,AOM_000635,derived-from-levels
AOM_002026,broader,AOM_000635,derived-from-levels
AOM_006053,broader,AOM_003972,derived-from-levels
AOM_006352,broader,AOM_002112,derived-from-levels
AOM_006055,broader,AOM_002112,derived-from-levels
AOM_006353,broader,AOM_002112,derived-from-levels
AOM_001627,broader,AOM_002112,derived-from-levels
AOM_006058,broader,AOM_002112,derived-from-levels
AOM_001803,broader,AOM_002112,derived-from-levels
AOM_006056,broader,AOM_002112,derived-from-levels
AOM_006054,broader,AOM_002112,derived-from-levels
AOM_006215,broader,AOM_002112,derived-from-levels
AOM_006057,broader,AOM_002112,derived-from-levels
AOM_006214,broader,AOM_002112,derived-from-levels
AOM_002027,broader,AOM_002112,derived-from-levels
AOM_006216,broader,AOM_002112,derived-from-levels
AOM_002029,broader,AOM_000638,derived-from-levels
AOM_006162,broader,AOM_003911,derived-from-levels
AOM_006404,broader,AOM_003911,derived-from-levels
AOM_006163,broader,AOM_003978,derived-from-levels
AOM_006402,broader,AOM_001251,derived-from-levels
AOM_000639,broader,AOM_000641,derived-from-levels
AOM_001953,broader,AOM_001281,derived-from-levels
AOM_006263,broader,AOM_002101,derived-from-levels
AOM_003853,broader,AOM_001267,derived-from-levels
AOM_001954,broader,AOM_001267,derived-from-levels
AOM_006403,broader,AOM_001267,derived-from-levels
AOM_001268,broader,AOM_001267,derived-from-levels
AOM_001650,broader,AOM_001266,derived-from-levels
AOM_006262,broader,AOM_003266,derived-from-levels
AOM_001651,broader,AOM_000640,derived-from-levels
AOM_002030,broader,AOM_000640,derived-from-levels
AOM_000644,broader,AOM_001916,derived-from-levels
AOM_006270,broader,AOM_003482,derived-from-levels
AOM_00672,broader,AOM_003492,derived-from-levels
AOM_006271,broader,AOM_001483,derived-from-levels
AOM_006266,broader,AOM_002166,derived-from-levels
AOM_006267,broader,AOM_002166,derived-from-levels
AOM_006268,broader,AOM_002166,derived-from-levels
AOM_006269,broader,AOM_002166,derived-from-levels
AOM_006264,broader,AOM_002344,derived-from-levels
AOM_006004,broader,AOM_006003,derived-from-levels
AOM_006003,broader,AOM_000644,derived-from-levels
AOM_001274,broader,AOM_001916,derived-from-levels
AOM_001273,broader,AOM_001916,derived-from-levels
AOM_001955,broader,AOM_001842,derived-from-levels
AOM_001957,broader,AOM_001956,derived-from-levels
AOM_000647,broader,AOM_006033,derived-from-levels
AOM_006033,broader,AOM_001202,derived-from-levels
AOM_001613,broader,AOM_001202,derived-from-levels
AOM_006034,broader,AOM_001202,derived-from-levels
AOM_001202,broader,AOM_000662,derived-from-levels
AOM_000648,broader,AOM_000662,derived-from-levels
AOM_002108,broader,AOM_000648,derived-from-levels
AOM_002119,broader,AOM_000648,derived-from-levels
AOM_001326,broader,AOM_000648,derived-from-levels
AOM_000570,broader,AOM_000648,derived-from-levels
AOM_001656,broader,AOM_000649,derived-from-levels
AOM_002031,broader,AOM_000649,derived-from-levels
AOM_006164,broader,AOM_000649,derived-from-levels
AOM_001679,broader,AOM_000649,derived-from-levels
AOM_000649,broader,AOM_000648,derived-from-levels
AOM_001674,broader,AOM_000648,derived-from-levels
AOM_000651,broader,AOM_000648,derived-from-levels
AOM_001289,broader,AOM_000648,derived-from-levels
AOM_001324,broader,AOM_001313,derived-from-levels
AOM_001313,broader,AOM_000648,derived-from-levels
AOM_004003,broader,AOM_004002,derived-from-levels
AOM_004002,broader,AOM_000662,derived-from-levels
AOM_000654,broader,AOM_000662,derived-from-levels
AOM_001355,broader,AOM_001895,derived-from-levels
AOM_001959,broader,AOM_001331,derived-from-levels
AOM_001331,broader,AOM_001895,derived-from-levels
AOM_001332,broader,AOM_001895,derived-from-levels
AOM_001895,broader,AOM_000662,derived-from-levels
AOM_001334,broader,AOM_000662,derived-from-levels
AOM_006156,broader,AOM_000655,derived-from-levels
AOM_001339,broader,AOM_001316,derived-from-levels
AOM_000657,broader,AOM_001316,derived-from-levels
AOM_001365,broader,AOM_001316,derived-from-levels
AOM_001316,broader,AOM_000662,derived-from-levels
AOM_002124,broader,AOM_001319,derived-from-levels
AOM_001346,broader,AOM_001319,derived-from-levels
AOM_000660,broader,AOM_001319,derived-from-levels
AOM_001319,broader,AOM_000662,derived-from-levels
AOM_000664,broader,AOM_001201,derived-from-levels
AOM_001201,broader,AOM_000665,derived-from-levels
AOM_002032,broader,AOM_001199,derived-from-levels
AOM_001200,broader,AOM_001199,derived-from-levels
AOM_001199,broader,AOM_000665,derived-from-levels
AOM_006099,broader,AOM_001848,derived-from-levels
AOM_001849,broader,AOM_001848,derived-from-levels
