"subject_id","relation_type","object_id"
"era:outcome:228.0","broader","era:outcome:indicator:009"
"era:outcome:228.1","broader","era:outcome:indicator:009"
"era:outcome:270.0","broader","era:outcome:indicator:010"
"era:outcome:236.1","broader","era:outcome:indicator:011"
"era:outcome:236.2","broader","era:outcome:indicator:011"
"era:outcome:232.1","broader","era:outcome:indicator:012"
"era:outcome:232.2","broader","era:outcome:indicator:012"
"era:outcome:232.3","broader","era:outcome:indicator:012"
"era:outcome:232.4","broader","era:outcome:indicator:012"
"era:outcome:232.5","broader","era:outcome:indicator:012"
"era:outcome:233.0","broader","era:outcome:indicator:012"
"era:outcome:233.1","broader","era:outcome:indicator:012"
"era:outcome:233.2","broader","era:outcome:indicator:012"
"era:outcome:233.3","broader","era:outcome:indicator:012"
"era:outcome:233.4","broader","era:outcome:indicator:012"
"era:outcome:233.5","broader","era:outcome:indicator:012"
"era:outcome:233.6","broader","era:outcome:indicator:012"
"era:outcome:257.1","broader","era:outcome:indicator:012"
"era:outcome:257.3","broader","era:outcome:indicator:012"
"era:outcome:257.2","broader","era:outcome:indicator:012"
"era:outcome:238.0","broader","era:outcome:indicator:012"
"era:outcome:234.0","broader","era:outcome:indicator:012"
"era:outcome:234.1","broader","era:outcome:indicator:012"
"era:outcome:234.2","broader","era:outcome:indicator:012"
"era:outcome:258.0","broader","era:outcome:indicator:012"
"era:outcome:258.2","broader","era:outcome:indicator:012"
"era:outcome:235.0","broader","era:outcome:indicator:012"
"era:outcome:235.1","broader","era:outcome:indicator:012"
"era:outcome:235.2","broader","era:outcome:indicator:012"
"era:outcome:259.0","broader","era:outcome:indicator:012"
"era:outcome:259.2","broader","era:outcome:indicator:012"
"era:outcome:257.0","broader","era:outcome:indicator:012"
"era:outcome:267.0","broader","era:outcome:indicator:012"
"era:outcome:267.1","broader","era:outcome:indicator:012"
"era:outcome:265.0","broader","era:outcome:indicator:012"
"era:outcome:265.1","broader","era:outcome:indicator:012"
"era:outcome:239.0","broader","era:outcome:indicator:013"
"era:outcome:240.0","broader","era:outcome:indicator:013"
"era:outcome:242.0","broader","era:outcome:indicator:013"
"era:outcome:243.0","broader","era:outcome:indicator:013"
"era:outcome:132.0","broader","era:outcome:indicator:014"
"era:outcome:133.0","broader","era:outcome:indicator:014"
"era:outcome:304.0","broader","era:outcome:indicator:015"
"era:outcome:305.0","broader","era:outcome:indicator:015"
"era:outcome:306.0","broader","era:outcome:indicator:015"
"era:outcome:307.0","broader","era:outcome:indicator:015"
"era:outcome:311.0","broader","era:outcome:indicator:015"
"era:outcome:308.0","broader","era:outcome:indicator:016"
"era:outcome:309.0","broader","era:outcome:indicator:016"
"era:outcome:310.0","broader","era:outcome:indicator:016"
"era:outcome:323.0","broader","era:outcome:indicator:017"
"era:outcome:320.0","broader","era:outcome:indicator:018"
"era:outcome:321.0","broader","era:outcome:indicator:018"
"era:outcome:322.0","broader","era:outcome:indicator:018"
"era:outcome:324.0","broader","era:outcome:indicator:018"
