"concept_id","property","value","value_type","source_column"
"era:practice:a17.2","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:a18","legacy_subpractice_code","TP","string","Subpractice.Code"
"era:practice:a18","legacy_short_label","AgFor Prune (Unknown)","string","Subpractice.S"
"era:practice:a18","short_suffix","Unknown","string","Subpractice.Suffix"
"era:practice:a18","linked_table","Res.Out","string","Linked.Tab"
"era:practice:a18","linked_column","M.Level.Name","string","Linked.Col"
"era:practice:a18","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:a19.1","legacy_subpractice_code","AF+N","string","Subpractice.Code"
"era:practice:a19.1","legacy_short_label","AgFor Fallow (Nfix)","string","Subpractice.S"
"era:practice:a19.1","short_suffix","Nfix","string","Subpractice.Suffix"
"era:practice:a19.1","linked_table","Rot.Out","string","Linked.Tab"
"era:practice:a19.1","linked_column","ED.Rot","string","Linked.Col"
"era:practice:a19.1","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:a19.2","legacy_subpractice_code","AF-N","string","Subpractice.Code"
"era:practice:a19.2","legacy_short_label","AgFor Fallow (nonNfix)","string","Subpractice.S"
"era:practice:a19.2","short_suffix","nonNfix","string","Subpractice.Suffix"
"era:practice:a19.2","linked_table","Rot.Out","string","Linked.Tab"
"era:practice:a19.2","linked_column","ED.Rot","string","Linked.Col"
"era:practice:a19.2","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:a19.3","legacy_subpractice_code","AF","string","Subpractice.Code"
"era:practice:a19.3","legacy_short_label","AgFor Fallow (NoID)","string","Subpractice.S"
"era:practice:a19.3","short_suffix","NoID","string","Subpractice.Suffix"
"era:practice:a19.3","linked_table","Rot.Out","string","Linked.Tab"
"era:practice:a19.3","linked_column","ED.Rot","string","Linked.Col"
"era:practice:a19.3","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:a99","legacy_subpractice_code","OA","string","Subpractice.Code"
"era:practice:a99","legacy_short_label","AgFor Other","string","Subpractice.S"
"era:practice:a99","linked_table","AF.Out","string","Linked.Tab"
"era:practice:a99","linked_column","AF.Level.Name","string","Linked.Col"
"era:practice:a99","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:d17.1","legacy_subpractice_code","FA+CF","string","Subpractice.Code"
"era:practice:d17.1","legacy_short_label","Feed Crop (Add)","string","Subpractice.S"
"era:practice:d17.1","short_suffix","Add","string","Subpractice.Suffix"
"era:practice:d17.1","linked_table","Animals.Out","string","Linked.Tab"
"era:practice:d17.1","linked_column","A.Level.Name","string","Linked.Col"
"era:practice:d17.1","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:d17.2","legacy_subpractice_code","FA+NC","string","Subpractice.Code"
"era:practice:d17.2","legacy_short_label","Feed NonCrop (Add)","string","Subpractice.S"
"era:practice:d17.2","short_suffix","Add","string","Subpractice.Suffix"
"era:practice:d17.2","linked_table","Animals.Out","string","Linked.Tab"
"era:practice:d17.2","linked_column","A.Level.Name","string","Linked.Col"
"era:practice:d17.2","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:d17.3","legacy_subpractice_code","FA+AF","string","Subpractice.Code"
"era:practice:d17.3","legacy_short_label","Feed AgFor (Add)","string","Subpractice.S"
"era:practice:d17.3","short_suffix","Add","string","Subpractice.Suffix"
"era:practice:d17.3","linked_table","Animals.Out","string","Linked.Tab"
"era:practice:d17.3","linked_column","A.Level.Name","string","Linked.Col"
"era:practice:d17.3","legacy_deprecated","FALSE","boolean","Depreciated"
