"concept_id","language","label_type","label","source_column"
"era:practice:h11","en","pref","Conventional Pasture Management","Subpractice"
"era:practice:h11","en","alt","Pasture Man Conv","Subpractice.S"
"era:practice:h55.2","en","pref","Unspecified","Subpractice"
"era:practice:h55.1","en","pref","Unimproved Breed","Subpractice"
"era:practice:h55.1","en","alt","Breed Unimpr","Subpractice.S"
"era:practice:b34","en","pref","Drip Irrigation","Subpractice"
"era:practice:b34","en","alt","Irrigation Drip","Subpractice.S"
"era:practice:b37","en","pref","Deficit Irrigation","Subpractice"
"era:practice:b37","en","alt","Irrigation Deficit","Subpractice.S"
"era:practice:b72","en","pref","Sprinkler Irrigation","Subpractice"
"era:practice:b72","en","alt","Irrigation Sprinkers","Subpractice.S"
"era:practice:b36","en","pref","Alternate Partial Rootzone Irrigation","Subpractice"
"era:practice:b36","en","alt","Irrigation APRI","Subpractice.S"
"era:practice:b54","en","pref","Supplemental Irrigation","Subpractice"
"era:practice:b54","en","alt","Irrigation Supp","Subpractice.S"
"era:practice:b53","en","pref","Irrigation (Other)","Subpractice"
"era:practice:b53","en","alt","Irrigation Other","Subpractice.S"
"era:practice:b13","en","pref","Alternate Wetting & Drying (AWD)","Subpractice"
"era:practice:b13","en","alt","AWD","Subpractice.S"
"era:practice:b14.1","en","pref","Midseason Drainage","Subpractice"
"era:practice:b14.2","en","pref","Reduced Water Use in Rice","Subpractice"
"era:practice:b14.2","en","alt","Reduced Water Use","Subpractice.S"
"era:practice:b15","en","pref","System of Rice Intensification (SRI)","Subpractice"
"era:practice:b15","en","alt","SRI","Subpractice.S"
"era:practice:b3.1","en","pref","Rotation (N fixing)","Subpractice"
"era:practice:b3.1","en","alt","Rotation (Nfix)","Subpractice.S"
"era:practice:b3.2","en","pref","Rotation (Non N fixing)","Subpractice"
"era:practice:b3.2","en","alt","Rotation (nonNfix)","Subpractice.S"
"era:practice:b43","en","pref","Rotation (N fixing & Non N fixing)","Subpractice"
"era:practice:b43","en","alt","Rotation (Mixed)","Subpractice.S"
"era:practice:b44","en","pref","Complex Rotation","Subpractice"
"era:practice:b44","en","alt","Rotation (Complex)","Subpractice.S"
