"source_sheet","source_row","concept_id"
"prac",88,"era:practice:b50.2"
"prac",89,"era:practice:b50.3"
"prac",90,"era:practice:b50.4"
"prac",91,"era:practice:b55.1"
"prac",92,"era:practice:b55.2"
"prac",93,"era:practice:b55.3"
"prac",94,"era:practice:b57"
"prac",95,"era:practice:b59"
"prac",96,"era:practice:c1"
"prac",97,"era:practice:c4"
"prac",98,"era:practice:c3"
"prac",99,"era:practice:c2"
"prac",100,"era:practice:c5"
"prac",101,"era:practice:h14"
"prac",102,"era:practice:h15"
"prac",103,"era:practice:h16"
"prac",104,"era:practice:h26"
"prac",105,"era:practice:b4"
"prac",106,"era:practice:b5"
"prac",107,"era:practice:b6"
"prac",108,"era:practice:b69"
"prac",109,"era:practice:h55"
"prac",110,"era:practice:b35"
"prac",111,"era:practice:b33"
"prac",112,"era:practice:b45"
"prac",113,"era:practice:b46"
"prac",114,"era:practice:b47"
"prac",115,"era:practice:b68"
"prac",116,"era:practice:b70"
"prac",117,"era:practice:b71.1"
"prac",118,"era:practice:b71.2"
"prac",119,"era:practice:b71.3"
"prac",120,"era:practice:b52"
"prac",121,"era:practice:b56"
"prac",122,"era:practice:b58"
"prac",123,"era:practice:h1"
"prac",124,"era:practice:h2"
"prac",125,"era:practice:h38"
"prac",126,"era:practice:h18"
"prac",127,"era:practice:h50"
"prac",128,"era:practice:h48"
"prac",129,"era:practice:h66.1"
"prac",130,"era:practice:h66.2"
"prac",131,"era:practice:b16"
"prac",132,"era:practice:b17"
"prac",133,"era:practice:b21"
"prac",134,"era:practice:b16.1"
"prac",135,"era:practice:b17.1"
"prac",136,"era:practice:b21.1"
"prac",137,"era:practice:b64"
"prac",138,"era:practice:b23"
"prac",139,"era:practice:b29"
"prac",140,"era:practice:b30"
"prac",141,"era:practice:b75"
"prac",142,"era:practice:b73"
"prac",143,"era:practice:b74"
"prac",144,"era:practice:b67"
"prac",145,"era:practice:b29.1"
"prac",146,"era:practice:b30.1"
"prac",147,"era:practice:b75.1"
"prac",148,"era:practice:b73.1"
"prac",149,"era:practice:b67.1"
"prac",150,"era:practice:h10"
"prac",151,"era:practice:h10.1"
"prac",152,"era:practice:h10.2"
"prac",153,"era:practice:f1"
"prac",154,"era:practice:f2"
"prac",155,"era:practice:f3"
"prac",156,"era:practice:f4"
"prac",157,"era:practice:f5"
"prac",158,"era:practice:h17"
"prac",159,"era:practice:h21"
"prac",160,"era:practice:h22"
"prac",161,"era:practice:h30"
"prac",162,"era:practice:b38"
"prac",163,"era:practice:b39"
"prac",164,"era:practice:b26"
"prac",165,"era:practice:b27"
"prac",166,"era:practice:b27.1"
"prac",167,"era:practice:b27.2"
"prac",168,"era:practice:b27.3"
"prac",169,"era:practice:b51"
"prac",170,"era:practice:b11.1"
"prac",171,"era:practice:b11.2"
"prac",172,"era:practice:b13.2"
"prac",173,"era:practice:b12.1"
"prac",174,"era:practice:b12.2"
"prac",175,"era:practice:b28"
"prac",176,"era:practice:b32"
"prac",177,"era:practice:b40"
"prac",178,"era:practice:b40.1"
"prac",179,"era:practice:b40.2"
"prac",180,"era:practice:b41"
"prac",181,"era:practice:b41.1"
"prac",182,"era:practice:b41.2"
"prac",183,"era:practice:b60"
"prac",184,"era:practice:b60.1"
"prac",185,"era:practice:b60.2"
"prac",186,"era:practice:b60.3"
"prac",187,"era:practice:h24"
"prac",188,"era:practice:h6"
"prac",189,"era:practice:h35"
"prac",190,"era:practice:h36"
"prac",191,"era:practice:h39"
"prac",192,"era:practice:h37"
"prac",193,"era:practice:h6.1"
"prac",194,"era:practice:h6.2"
"prac",195,"era:practice:h7"
"prac",196,"era:practice:h23"
"prac",197,"era:practice:h3"
"out",2,"era:outcome:101.0"
"out",3,"era:outcome:101.1"
"out",4,"era:outcome:101.2"
"out",5,"era:outcome:103.0"
"out",6,"era:outcome:104.0"
"out",7,"era:outcome:118.0"
"out",8,"era:outcome:119.1"
"out",9,"era:outcome:119.2"
"out",10,"era:outcome:119.3"
"out",11,"era:outcome:119.4"
"out",12,"era:outcome:119.5"
"out",13,"era:outcome:400.0"
"out",14,"era:outcome:102.0"
"out",15,"era:outcome:120.0"
"out",16,"era:outcome:124.0"
"out",17,"era:outcome:124.1"
"out",18,"era:outcome:150.0"
"out",19,"era:outcome:150.1"
"out",20,"era:outcome:150.2"
"out",21,"era:outcome:150.3"
"out",22,"era:outcome:151.0"
"out",23,"era:outcome:151.1"
"out",24,"era:outcome:151.2"
"out",25,"era:outcome:152.0"
"out",26,"era:outcome:152.2"
"out",27,"era:outcome:152.3"
"out",28,"era:outcome:152.1"
"out",29,"era:outcome:152.4"
"out",30,"era:outcome:152.5"
"out",31,"era:outcome:125.0"
"out",32,"era:outcome:125.1"
"out",33,"era:outcome:125.2"
"out",34,"era:outcome:125.3"
"out",35,"era:outcome:125.5"
"out",36,"era:outcome:125.6"
"out",37,"era:outcome:125.4"
"out",38,"era:outcome:126.0"
"out",39,"era:outcome:126.1"
"out",40,"era:outcome:126.2"
"out",41,"era:outcome:130.0"
"out",42,"era:outcome:131.0"
"out",43,"era:outcome:134.0"
"out",44,"era:outcome:137.0"
"out",45,"era:outcome:137.1"
"out",46,"era:outcome:203.0"
"out",47,"era:outcome:268.0"
"out",48,"era:outcome:209.0"
"out",49,"era:outcome:209.1"
"out",50,"era:outcome:212.0"
"out",51,"era:outcome:217.0"
"out",52,"era:outcome:218.0"
"out",53,"era:outcome:223.0"
"out",54,"era:outcome:224.0"
"out",55,"era:outcome:224.1"
"out",56,"era:outcome:226.0"
"out",57,"era:outcome:226.1"
"out",58,"era:outcome:226.2"
"out",59,"era:outcome:226.3"
"out",60,"era:outcome:226.4"
"out",61,"era:outcome:231.0"
"out",62,"era:outcome:221.0"
"out",63,"era:outcome:228.0"
"out",64,"era:outcome:228.1"
"out",65,"era:outcome:270.0"
"out",66,"era:outcome:236.1"
"out",67,"era:outcome:236.2"
"out",68,"era:outcome:232.1"
"out",69,"era:outcome:232.2"
"out",70,"era:outcome:232.3"
"out",71,"era:outcome:232.4"
"out",72,"era:outcome:232.5"
"out",73,"era:outcome:233.0"
"out",74,"era:outcome:233.1"
"out",75,"era:outcome:233.2"
"out",76,"era:outcome:233.3"
"out",77,"era:outcome:233.4"
"out",78,"era:outcome:233.5"
"out",79,"era:outcome:233.6"
"out",80,"era:outcome:257.1"
"out",81,"era:outcome:257.3"
"out",82,"era:outcome:257.2"
"out",83,"era:outcome:238.0"
"out",84,"era:outcome:234.0"
"out",85,"era:outcome:234.1"
"out",86,"era:outcome:234.2"
"out",87,"era:outcome:258.0"
"out",88,"era:outcome:258.2"
"out",89,"era:outcome:235.0"
"out",90,"era:outcome:235.1"
"out",91,"era:outcome:235.2"
"out",92,"era:outcome:259.0"
"out",93,"era:outcome:259.2"
"out",94,"era:outcome:257.0"
"out",95,"era:outcome:267.0"
"out",96,"era:outcome:267.1"
"out",97,"era:outcome:265.0"
"out",98,"era:outcome:265.1"
"out",99,"era:outcome:239.0"
"out",100,"era:outcome:240.0"
"out",101,"era:outcome:242.0"
"out",102,"era:outcome:243.0"
"out",103,"era:outcome:132.0"
"out",104,"era:outcome:133.0"
"out",105,"era:outcome:304.0"
"out",106,"era:outcome:305.0"
"out",107,"era:outcome:306.0"
"out",108,"era:outcome:307.0"
"out",109,"era:outcome:311.0"
"out",110,"era:outcome:308.0"
"out",111,"era:outcome:309.0"
"out",112,"era:outcome:310.0"
"out",113,"era:outcome:323.0"
"out",114,"era:outcome:320.0"
"out",115,"era:outcome:321.0"
"out",116,"era:outcome:322.0"
"out",117,"era:outcome:324.0"
