case_id,concept_id,preferred_label,hierarchy_path,source_context,component_or_form_terms,process_terms,definition_status,lexical_collision_keys,feedipedia,agrovoc,cpc_product,review_status,proposed_disposition,reviewer,review_date,rationale
CEREAL-006280,AOM_006280,Pennisetum Dried,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Pennisetum/Pennisetum Dried,Pennisetum,,dried,present,,,,,review-required,,,,
CEREAL-001443,AOM_001443,Pennisetum,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Pennisetum,Pennisetum,,,present,,,,,review-required,,,,
CEREAL-001713,AOM_001713,Pennisetum clandestinum Dried,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Pennisetum clandestinum/Pennisetum clandestinum Dried,Pennisetum clandestinum,,dried,present,,https://www.feedipedia.org/node/12233,,,review-required,,,,
CEREAL-001714,AOM_001714,Pennisetum clandestinum Dried Ground,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Pennisetum clandestinum/Pennisetum clandestinum Dried Ground,Pennisetum clandestinum,,dried;ground,present,,https://www.feedipedia.org/node/12233,,,review-required,,,,
CEREAL-001410,AOM_001410,Pennisetum clandestinum Ensiled,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Pennisetum clandestinum/Pennisetum clandestinum Ensiled,Pennisetum clandestinum,,ensiled,present,,,,,review-required,,,,
CEREAL-001411,AOM_001411,Pennisetum clandestinum Ground,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Pennisetum clandestinum/Pennisetum clandestinum Ground,Pennisetum clandestinum,,ground,present,,https://www.feedipedia.org/node/12233,,,review-required,,,,
CEREAL-001966,AOM_001966,Pennisetum clandestinum Leaves Dried Ground,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Pennisetum clandestinum/Pennisetum clandestinum Leaves/Pennisetum clandestinum Leaves Dried Ground,Pennisetum clandestinum,,dried;ground,present,,https://www.feedipedia.org/node/12233,,,review-required,,,,
CEREAL-002040,AOM_002040,Pennisetum clandestinum Leaves,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Pennisetum clandestinum/Pennisetum clandestinum Leaves,Pennisetum clandestinum,,,present,,https://www.feedipedia.org/node/12232,,,review-required,,,,
CEREAL-001409,AOM_001409,Pennisetum clandestinum,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Pennisetum clandestinum,Pennisetum clandestinum,,,present,,https://www.feedipedia.org/node/12233,,,review-required,,,,
CEREAL-001412,AOM_001412,Pennisetum mezianum,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Pennisetum mezianum,Pennisetum mezianum,,,present,,,,,review-required,,,,
CEREAL-001717,AOM_001717,Pennisetum pedicellatum Dried,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Pennisetum pedicellatum/Pennisetum pedicellatum Dried,Pennisetum pedicellatum,,dried,present,,https://www.feedipedia.org/node/12865,,,review-required,,,,
CEREAL-001718,AOM_001718,Pennisetum pedicellatum Dried Ground,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Pennisetum pedicellatum/Pennisetum pedicellatum Dried Ground,Pennisetum pedicellatum,,dried;ground,present,,https://www.feedipedia.org/node/12865,,,review-required,,,,
CEREAL-001413,AOM_001413,Pennisetum pedicellatum,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Pennisetum pedicellatum,Pennisetum pedicellatum,,,present,,https://www.feedipedia.org/node/12377,,,review-required,,,,
CEREAL-001441,AOM_001441,Pennisetum petiolar,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Pennisetum petiolar,Pennisetum petiolar,,,present,,,,,review-required,,,,
CEREAL-000689,AOM_000689,Pennisetum purpureum,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Pennisetum purpureum,Pennisetum purpureum,,,present,,https://www.feedipedia.org/node/12365,http://aims.fao.org/aos/agrovoc/c_5677,,review-required,,,,
CEREAL-001721,AOM_001721,Pennisetum purpureum Dried,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Pennisetum purpureum/Pennisetum purpureum Dried,Pennisetum purpureum,,dried,present,,https://www.feedipedia.org/node/12366,,,review-required,,,,
CEREAL-001681,AOM_001681,Pennisetum purpureum Dried Ground,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Pennisetum purpureum/Pennisetum purpureum Dried Ground,Pennisetum purpureum,,dried;ground,present,,https://www.feedipedia.org/node/12366,,,review-required,,,,
CEREAL-006279,AOM_006279,Pennisetum purpureum Ensiled,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Pennisetum purpureum/Pennisetum purpureum Ensiled,Pennisetum purpureum,,ensiled,present,,https://www.feedipedia.org/node/12366,,,review-required,,,,
CEREAL-001720,AOM_001720,Pennisetum purpureum Ground,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Pennisetum purpureum/Pennisetum purpureum Ground,Pennisetum purpureum,,ground,present,,https://www.feedipedia.org/node/12366,,,review-required,,,,
CEREAL-006141,AOM_006141,Pennisetum purpureum Wilted,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Pennisetum purpureum/Pennisetum purpureum Wilted,Pennisetum purpureum,,wilted,present,,,,,review-required,,,,
CEREAL-001444,AOM_001444,Pennisetum villosum,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Pennisetum villosum,Pennisetum villosum,,,present,,,,,review-required,,,,
CEREAL-001445,AOM_001445,Phalaris aquatica,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Phalaris aquatica,Phalaris aquatica,,,present,,https://www.feedipedia.org/node/11901,,,review-required,,,,
CEREAL-001854,AOM_001854,Plantago albicans,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Plantago albicans,Plantago albicans,,,present,,,,,review-required,,,,
CEREAL-001855,AOM_001855,Poaceae,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Poaceae,Poaceae,,,present,,,,,review-required,,,,
CEREAL-001514,AOM_001514,Pogonarthria squarrosa,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Pogonarthria squarrosa,Pogonarthria squarrosa,,,present,,,,,review-required,,,,
CEREAL-002132,AOM_002132,Rottboellia cochinchinensis,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Rottboellia cochinchinensis,Rottboellia cochinchinensis,,,present,,https://www.feedipedia.org/node/11528,,,review-required,,,,
CEREAL-001689,AOM_001689,Schizachyrium exile Urea Treated,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Schizachyrium exile/Schizachyrium exile Urea Treated,Schizachyrium exile,,urea treated,present,,,,,review-required,,,,
CEREAL-001516,AOM_001516,Schizachyrium exile,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Schizachyrium exile,Schizachyrium exile,,,present,,,,,review-required,,,,
CEREAL-001517,AOM_001517,Schizachyrium jeffreysii,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Schizachyrium jeffreysii,Schizachyrium jeffreysii,,,present,,,,,review-required,,,,
CEREAL-001692,AOM_001692,Schoenefeldia gracilis Dried,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Schoenefeldia gracilis/Schoenefeldia gracilis Dried,Schoenefeldia gracilis,,dried,present,,,,,review-required,,,,
CEREAL-001518,AOM_001518,Schoenefeldia gracilis,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Schoenefeldia gracilis,Schoenefeldia gracilis,,,present,,,,,review-required,,,,
CEREAL-006315,AOM_006315,Sorghum sudanense Dried,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Sorghum sudanense/Sorghum sudanense Dried,Sorghum sudanense,,dried,present,sudan grass,https://www.feedipedia.org/node/11534,,,review-required,,,,
CEREAL-001446,AOM_001446,Sorghum sudanense,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Sorghum sudanense,Sorghum sudanense,,,present,sudan grass,https://www.feedipedia.org/node/11534,,,review-required,,,,
CEREAL-006272,AOM_006272,Sporobolus natalensis Dried,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Sporobolus natalensis/Sporobolus natalensis Dried,Sporobolus natalensis,,dried,present,,,,,review-required,,,,
CEREAL-001448,AOM_001448,Sporobolus natalensis,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Sporobolus natalensis,Sporobolus natalensis,,,present,,,,,review-required,,,,
CEREAL-001449,AOM_001449,Sporobolus panicoides,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Sporobolus panicoides,Sporobolus panicoides,,,present,,,,,review-required,,,,
CEREAL-001900,AOM_001900,Stereochlaena cameronii,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Stereochlaena cameronii,Stereochlaena cameronii,,,present,,,,,review-required,,,,
CEREAL-001520,AOM_001520,Stipa parviflora,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Stipa parviflora,Stipa parviflora,,,present,,,,,review-required,,,,
CEREAL-001743,AOM_001743,Stipa tenacissima Dried,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Stipa tenacissima/Stipa tenacissima Dried,Stipa tenacissima,,dried,present,,,,,review-required,,,,
CEREAL-001521,AOM_001521,Stipa tenacissima,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Stipa tenacissima,Stipa tenacissima,,,present,,,,,review-required,,,,
