concept_id,preferred_label,recommended_route,public_mapping_schemes,public_mapping_targets
AOM_000651,Maize Oil,research_public_ontology,agrovoc;cpc-product;ncbi-taxonomy;world-flora-online,0112;http://aims.fao.org/aos/agrovoc/c_29474;http://purl.obolibrary.org/obo/NCBITaxon_4577;wfo-0000907754
AOM_000664,Ripe Avocado,research_public_ontology,agrovoc;cpc-product;ncbi-taxonomy;world-flora-online,01311;http://aims.fao.org/aos/agrovoc/c_4656;http://aims.fao.org/aos/agrovoc/c_9022;http://purl.obolibrary.org/obo/NCBITaxon_3435;wfo-0000465160
AOM_000672,Palm Oil Crude,research_public_ontology,agrovoc;cpc-product;ncbi-taxonomy;world-flora-online,21651;http://aims.fao.org/aos/agrovoc/c_5514;http://purl.obolibrary.org/obo/NCBITaxon_4710;wfo-7000000046
AOM_000674,Sunflower Oil,research_public_ontology,agrovoc;cpc-product;ncbi-taxonomy;world-flora-online,2163;http://aims.fao.org/aos/agrovoc/c_25506;http://purl.obolibrary.org/obo/NCBITaxon_4232;wfo-0000088131
AOM_000676,Vegetable Oil,research_public_ontology,agrovoc,http://aims.fao.org/aos/agrovoc/c_8170
AOM_000703,Acacia angustissima,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_468212;wfo-0000182075
AOM_000726,Legume Forages,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_3803;wfo-7000000323
AOM_000752,Chamomile Flower,research_taxon_insufficient_for_material,ncbi-taxonomy;world-flora-online,http://purl.obolibrary.org/obo/NCBITaxon_99037;wfo-0000005006
AOM_001110,Rastrineobola argentea,research_taxon_insufficient_for_material,ncbi-taxonomy,http://purl.obolibrary.org/obo/NCBITaxon_1108697
AOM_001114,Mollusk,research_taxon_insufficient_for_material,ncbi-taxonomy,http://purl.obolibrary.org/obo/NCBITaxon_6447
AOM_001118,Acacia cyanophylla,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_420411;wfo-0000192034
AOM_001119,Acacia saligna,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_420411;wfo-0001054072
