subject_id,target_scheme,target_id,target_uri,original_value,evidence,status
AOM_001439,ncbi-taxonomy,NCBITaxon_161934,http://purl.obolibrary.org/obo/NCBITaxon_161934,http://purl.obolibrary.org/obo/NCBITaxon_161934,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001439,world-flora-online,wfo-0000564998,,wfo-0000564998,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_003911,ncbi-taxonomy,NCBITaxon_3983,http://purl.obolibrary.org/obo/NCBITaxon_3983,http://purl.obolibrary.org/obo/NCBITaxon_3983,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_003911,world-flora-online,wfo-0000235507,,wfo-0000235507,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_003911,feedipedia,14530,https://www.feedipedia.org/node/14530,https://www.feedipedia.org/node/14530,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_003911,cpc-product,01520,,01520,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_003482,ncbi-taxonomy,NCBITaxon_3555,http://purl.obolibrary.org/obo/NCBITaxon_3555,http://purl.obolibrary.org/obo/NCBITaxon_3555,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_003482,world-flora-online,wfo-0001235049,,wfo-0001235049,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_003482,feedipedia,11843,https://www.feedipedia.org/node/11843,https://www.feedipedia.org/node/11843,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_003482,cpc-product,01801,,01801,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001482,agrovoc,c_4889,http://aims.fao.org/aos/agrovoc/c_4889,http://aims.fao.org/aos/agrovoc/c_4889,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001482,ncbi-taxonomy,NCBITaxon_3555,http://purl.obolibrary.org/obo/NCBITaxon_3555,http://purl.obolibrary.org/obo/NCBITaxon_3555,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001482,world-flora-online,wfo-0001235049,,wfo-0001235049,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001482,feedipedia,12340,https://www.feedipedia.org/node/12340,https://www.feedipedia.org/node/12340,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001482,cpc-product,01801,,01801,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001482,cpc-component,235,,235,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_002166,ncbi-taxonomy,NCBITaxon_4547,http://purl.obolibrary.org/obo/NCBITaxon_4547,http://purl.obolibrary.org/obo/NCBITaxon_4547,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_002166,world-flora-online,wfo-0000896660,,wfo-0000896660,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_002166,feedipedia,11673,https://www.feedipedia.org/node/11673,https://www.feedipedia.org/node/11673,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_002166,cpc-product,01802,,01802,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_002166,cpc-component,39141,,39141,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001842,agrovoc,c_5514,http://aims.fao.org/aos/agrovoc/c_5514,http://aims.fao.org/aos/agrovoc/c_5514,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001842,ncbi-taxonomy,NCBITaxon_4710,http://purl.obolibrary.org/obo/NCBITaxon_4710,http://purl.obolibrary.org/obo/NCBITaxon_4710,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001842,world-flora-online,wfo-0000571350,,wfo-0000571350,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_002107,agrovoc,c_24831,http://aims.fao.org/aos/agrovoc/c_24831,http://aims.fao.org/aos/agrovoc/c_24831,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_002107,ncbi-taxonomy,NCBITaxon_3641,http://purl.obolibrary.org/obo/NCBITaxon_3641,http://purl.obolibrary.org/obo/NCBITaxon_3641,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_002107,world-flora-online,wfo-0000458440,,wfo-0000458440,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_002107,feedipedia,11693,https://www.feedipedia.org/node/11693,https://www.feedipedia.org/node/11693,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_002107,cpc-product,0164,,0164,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_002106,agrovoc,c_24831,http://aims.fao.org/aos/agrovoc/c_24831,http://aims.fao.org/aos/agrovoc/c_24831,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_002106,ncbi-taxonomy,NCBITaxon_3641,http://purl.obolibrary.org/obo/NCBITaxon_3641,http://purl.obolibrary.org/obo/NCBITaxon_3641,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_002106,world-flora-online,wfo-0000458440,,wfo-0000458440,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_002106,feedipedia,11693,https://www.feedipedia.org/node/11693,https://www.feedipedia.org/node/11693,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_002106,cpc-product,0164,,0164,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_002106,cpc-component,2191,,2191,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_004002,agrovoc,c_12332,http://aims.fao.org/aos/agrovoc/c_12332,http://aims.fao.org/aos/agrovoc/c_12332,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_004002,ncbi-taxonomy,NCBITaxon_4577,http://purl.obolibrary.org/obo/NCBITaxon_4577,http://purl.obolibrary.org/obo/NCBITaxon_4577,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
